feature,importance
sex,195584.5
weeks worked in year,176493.3125
employment_intensity,119358.3515625
dividends from stocks,103153.2109375
detailed household summary in household,88182.6015625
capital gains,83040.4453125
detailed occupation recode,80746.3046875
education,59679.078125
num persons worked for employer,56074.11328125
ratio_dividend_income,54629.9609375
family members under 18,53702.0703125
detailed household and family stat,49920.26171875
age,44263.8046875
capital losses,37420.82421875
major occupation code,34696.0625
tax filer stat,27905.673828125
marital stat,25317.19921875
detailed industry recode,24282.669921875
wage per hour,22237.52734375
class of worker,18759.267578125
own business or self employed,18547.0390625
major industry code,17750.96875
fill inc questionnaire for veteran's admin,17461.078125
veterans benefits,17372.17578125
live in this house 1 year ago,16987.9375
state of previous residence,16226.7333984375
race,15412.0224609375
country of birth father,15216.4365234375
enroll in edu inst last wk,15062.6845703125
migration code-change in reg,14903.0771484375
country of birth mother,14520.876953125
region of previous residence,14511.0166015625
full or part time employment stat,14452.0712890625
migration code-move within reg,14220.3076171875
migration prev res in sunbelt,13947.681640625
reason for unemployment,13607.056640625
country of birth self,13575.9345703125
hispanic origin,13486.96875
member of a labor union,13190.494140625
ratio_capital_gain_wage,12940.7236328125
migration code-change in msa,12832.38671875
citizenship,12162.736328125
