feature,importance
weeks worked in year,217854.78125
ratio_dividend_income,175771.421875
detailed occupation recode,80235.7578125
capital gains,74959.6640625
num persons worked for employer,54174.82421875
dividends from stocks,43563.84375
education,43229.99609375
age,42172.70703125
major occupation code,36315.01953125
capital losses,36277.78515625
detailed industry recode,31036.990234375
employment_intensity,25543.732421875
wage per hour,23292.08203125
class of worker,19456.90234375
major industry code,15710.8525390625
member of a labor union,12449.7333984375
full or part time employment stat,11781.240234375
enroll in edu inst last wk,11514.14453125
reason for unemployment,10650.986328125
ratio_capital_gain_wage,8994.9794921875
