feature,importance
weeks worked in year,512096.96875
detailed occupation recode,195047.0625
detailed household and family stat,156376.96875
age,110768.0703125
education,99566.078125
family members under 18,95539.6328125
tax filer stat,51165.484375
veterans benefits,47111.765625
detailed household summary in household,44897.43359375
detailed industry recode,37575.484375
class of worker,36774.19921875
num persons worked for employer,33812.61328125
fill inc questionnaire for veteran's admin,31312.22265625
major industry code,28279.83203125
major occupation code,27353.294921875
marital stat,25976.716796875
reason for unemployment,20732.34375
employment_intensity,18493.654296875
country of birth self,18327.189453125
enroll in edu inst last wk,15120.193359375
